Generation	RGB	HSV	AVERAGE
1	0.14191868	0.11488082	0.12839975
2	0.14281202	0.11597683	0.129394425
3	0.14281202	0.11597683	0.129394425
4	0.14366913	0.10595394	0.124811535
5	0.15987942	0.11354194	0.13671068
6	0.15987942	0.11354194	0.13671068
7	0.15987942	0.11354194	0.13671068
8	0.15987942	0.11354194	0.13671068
9	0.16665902	0.13543943	0.151049225
10	0.16665902	0.13543943	0.151049225
11	0.17349097	0.12294891	0.14821994
12	0.17349097	0.12294891	0.14821994
13	0.17349097	0.12294891	0.14821994
14	0.17732138	0.11022011	0.143770745
15	0.18595181	0.11057539	0.1482636
16	0.18595181	0.11057539	0.1482636
17	0.18595181	0.11057539	0.1482636
18	0.18647735	0.14082386	0.163650605
19	0.1893891	0.13587389	0.162631495
20	0.1893891	0.13587389	0.162631495
21	0.1893891	0.13587389	0.162631495
22	0.18969468	0.13212796	0.16091132
23	0.19565743	0.12319356	0.159425495
24	0.19565743	0.12319356	0.159425495
25	0.19565743	0.12319356	0.159425495
26	0.20113708	0.13801296	0.16957502
27	0.20656949	0.13835129	0.17246039
28	0.20656949	0.13835129	0.17246039
29	0.20656949	0.13835129	0.17246039
30	0.20656949	0.13835129	0.17246039
31	0.20656949	0.13835129	0.17246039
32	0.20656949	0.13835129	0.17246039
33	0.21581132	0.12390467	0.169857995
34	0.21581132	0.12390467	0.169857995
35	0.21581132	0.12390467	0.169857995
36	0.21581132	0.12390467	0.169857995
37	0.21581132	0.12390467	0.169857995
38	0.21581132	0.12390467	0.169857995
39	0.21581132	0.12390467	0.169857995
40	0.2178968	0.12282347	0.170360135
41	0.22666139	0.13920846	0.182934925
42	0.22666139	0.13920846	0.182934925
43	0.22754333	0.13098315	0.17926324
44	0.22754333	0.13098315	0.17926324
45	0.22754333	0.13098315	0.17926324
46	0.22754333	0.13098315	0.17926324
47	0.23718235	0.15812632	0.197654335
48	0.23718235	0.15812632	0.197654335
49	0.23718235	0.15812632	0.197654335
50	0.23718235	0.15812632	0.197654335
51	0.23718235	0.15812632	0.197654335
52	0.23718235	0.15812632	0.197654335
53	0.23728554	0.13645697	0.186871255
54	0.23837501	0.14971582	0.194045415
55	0.23837501	0.14971582	0.194045415
56	0.24231041	0.14916337	0.19573689
57	0.24231041	0.14916337	0.19573689
58	0.24587694	0.16218913	0.204033035
59	0.24587694	0.16218913	0.204033035
60	0.24664293	0.14158586	0.194114395
61	0.24664293	0.14158586	0.194114395
62	0.24664293	0.14158586	0.194114395
63	0.2548166	0.14761187	0.201214235
64	0.2548166	0.14761187	0.201214235
65	0.2548166	0.14761187	0.201214235
66	0.2548166	0.14761187	0.201214235
67	0.2548166	0.14761187	0.201214235
68	0.2548166	0.14761187	0.201214235
69	0.2548166	0.14761187	0.201214235
70	0.25496033	0.15851197	0.20673615
71	0.25828604	0.1530602	0.20567312
72	0.25828604	0.1530602	0.20567312
73	0.25828604	0.1530602	0.20567312
74	0.25828604	0.1530602	0.20567312
75	0.25828604	0.1530602	0.20567312

